Position,Year,Make,Model,Time,Weight,Turbocharger,Supercharger,Hybrid,Powertrain,Engine_Layout,Horsepower,Torque,Drivetrain,Body_Style,Manual_Transmission,KGperHP,Cylinders
1,2013,Porsche,918 Spyder,06:57.0,1634,0,0,1,V8,Mid-Engine,875,944,AWD,Coupe,0,1.867428571,8
2,2015,Lamborghini,Aventador LP 750-4 Superveloce,06:59.7,1769,0,0,0,V12,Mid-Engine,740,509,AWD,Coupe,0,2.390540541,12
3,2015,Nissan,GT-R Nismo,07:08.7,1720,1,0,0,V6,Front-Engine,591,481,AWD,Coupe,0,2.910321489,6
4,2010,Dodge,Viper SRT-10 ACR,07:12.1,1546,0,0,0,V10,Front-Engine,600,560,RWD,Coupe,1,2.576666667,10
5,2012,Lexus,LFA Nurburgring Package,07:14.6,1480,0,0,0,V10,Front-Engine,563,354,RWD,Coupe,0,2.628774423,10
6,2010,Porsche,911 GT2 RS,07:18.0,1368,1,0,0,Flat 6,Rear-Engine,612,516,RWD,Coupe,1,2.235294118,6
7,2013,Nissan,GT-R,07:19.1,1740,1,0,0,V6,Front-Engine,545,463,AWD,Coupe,0,3.19266055,6
8,2012,Chevrolet,Corvette ZR1,07:19.6,1530,0,1,0,V8,Front-Engine,638,604,RWD,Coupe,1,2.398119122,8
9,2015,Ferrari,488 GTB,07:21.6,1548,1,0,0,V8,Mid-Engine,661,561,RWD,Coupe,0,2.341906203,8
10,2011,Chevrolet,Corvette Z06,07:22.7,1420,0,1,0,V8,Front-Engine,505,470,RWD,Coupe,1,2.811881188,8
11,2011,Nissan,GT-R,07:24.2,1724,1,0,0,V6,Front-Engine,485,434,AWD,Coupe,0,3.554639175,6
12,2004,Maserati,MC12,07:24.3,1497,0,0,0,V12,Mid-Engine,621,481,RWD,Coupe,0,2.410628019,12
13,2005,Pagani,Zonda F Clubsport,07:24.4,1230,0,0,0,V12,Mid-Engine,641,575,RWD,Coupe,1,1.918876755,12
14,2011,Lamborghini,Aventador LP700-4,07:25.0,1853,0,0,0,V12,Mid-Engine,690,509,AWD,Coupe,0,2.685507246,12
15,2002,Ferrari,Enzo,07:25.2,1480,0,0,0,V12,Mid-Engine,651,485,RWD,Coupe,0,2.273425499,12
16,2014,Mercedes,SLS AMG Black Series,07:26.4,1549,0,0,0,V8,Front-Engine,563,468,RWD,Coupe,0,2.751332149,8
